AD officiele benaming,Nationale identificatie / Aansluitnummer,AD vestigingsadres,AD plaats,AD postcode,AD land,Internetadres aanbestedende dienst
"Gemeenten Borsele, Goes, Kapelle, Noord-Beveland, Reimerswaal (Penvoerder)",24476489,Oude Plein 1,KRUININGEN,4416 AK,Nederland,http://www.reimerswaal.nl
Gemeente SÃƒÂºdwest FryslÃƒÂ¢n,352062623,Marktstraat 15,SNEEK,8601CR,Nederland,http://www.gemeentesudwestfryslan.nl
"Belastingdienst, IUC Belastingdienst",12629279,John F. Kennedylaan 8,Apeldoorn,7314 PS,Nederland,http://www.belastingdienst.nl
Regionale ICT-Dienst Utrecht,381590125,Ln Blusse van Oud Alblas 2,SOESTERBERG,3769AT,Nederland,http://www.rid-utrecht.nl
Betaalbare Koopwoningen Zaanstad B.V.,351795123,Ebbehout 24,ZAANDAM,1507EA,Nederland,http://www.betaalbarekoopwoningen.nl
"Provincie Noord Brabant, voor deze de Dienst Landelijk Gebied",532146326,Prof. Cobbenhagenlaan 125,Tilburg,5037 DB,Nederland,http://www.dienstlandelijkgebied.nl
Gemeente Slochteren,412149088,Hoofdweg 10,SLOCHTEREN,9621AL,Nederland,http://www.slochteren.nl
Chemelot Campus Vastgoed C.V.,2018267,Urmonderbaan 22,GELEEN,6167RD,Nederland,http://www.chemelot.nl
Gemeente Medemblik,421781665,Dick Ketlaan 21,WOGNUM,1687CD,Nederland,http://www.medemblik.nl
Stichting Stenden Hogeschool,411976298,Rengerslaan 8,LEEUWARDEN,8917DD,Nederland,http://www.stenden.com
NOS,57366058,Sumatralaan 45,Hilversum,1217GP,Nederland,http://www.nos.nl
Gemeente Onderbanken,9385564,Kloosterlaan 7,Schinveld,6451 EN,Nederland,http://www.onderbanken.nl
Gemeente Lingewaard,59353125,Kinkelenburglaan 6,Bemmel,6681 BJ,Nederland,http://www.Lingewaard.nl
Gemeente Enkhuizen,17705740,Westerstraat 111,ENKHUIZEN,1600AA,Nederland,http://www.enkhuizen.nl
Gemeentehuis Zuidplas,10653765,Raadhuisplein 1,NIEUWERKERK AD IJSSEL,2914KM,Nederland,http://www.zuidplas.nl
Centraal Justitieel Incassobureau,502068230,8913 HC 140,Leeuwarden,8913 HC,Nederland,
VMBO Zuid-West,542093764,Beresteinlaan 627,S-GRAVENHAGE,2542JR,Nederland,http://www.sgzuidwest.org
Stichting Bevolkingsonderzoek Oost,25766987,Zutphenseweg 51,Deventer,7418AH,Nederland,http://www.bevolkingsonderzoekoost.nl
gemeente Zaltbommel,54494424,Hogeweg 11,Zaltbommel,5301LB,Nederland,http://www.zaltbommel.nl
Gemeente Leidschendam-Voorburg,111792390,2264 BM 2,Leidschendam,2264 BM,Nederland,
"Ministerie van Defensie, Defensie Materieel Organisatie, Bedrijfsgroep IVENT",431575409,3584AB 1,Utrecht,3584AB,Nederland,
Veiligheidsregio Noord Holland Noord,61711067,Hertog Aalbrechtweg 5,ALKMAAR,1823DL,Nederland,http://www.veiligheidsregio-nhn.nl
Gemeente Maastricht,202214754,Mosae Forum 10,Maastricht,6211 DW,Nederland,http://www.maastricht.nl
"Ministerie van Defensie, Koninklijke Marine, Marinebedrijf",412151249,Rijkszee en Marinehaven 1,Den Helder,1780 CA,Nederland,http://www.marine.nl
"Ambassade van het Koninkrijk der Nederlanden in IndonesiÃƒÂ«, Jakarta",5910447,Jl. Rasuna Said 0,Jakarta,.,IndonesiÃƒÂ«,http://www.indonesie.nlambassade.org
Stichting Catent,592162094,Rechterland 1,ZWOLLE,8024AH,Nederland,http://www.catent.nl
Waterschap Hollandse Delta,21767759,Handelsweg 100,RIDDERKERK,2988DC,Nederland,http://www.wshd.nl
"Ministerie van Defensie, Commando Dienstencentra (CDC)",271880387,Herculeslaan 1,Utrecht,3584 AB,Nederland,
Stichting Waternet,4572068,1096AC 7,AMSTERDAM,1096AC,Nederland,
Gemeente Oosterhout,44684937,Slotjesveld 1,Oosterhout,4902 ZP,Nederland,http://www.oosterhout.nl
Gemeente Simpelveld,24726581,6369AH 1,Simpelveld,6369AH,Nederland,
Gemeente Groningen,461770445,9701 BJ 1,GRONINGEN,9701 BJ,Nederland,
"Gemeente Amsterdam, Ontwikkelingsbedrijf",471769829,1018XA 8,Amsterdam,1018XA,Nederland,
Waterschap Hunze en Aa's,432129932,9641PJ 5,Veendam,9641PJ,Nederland,
Waterschap Regge en Dinkel,401664319,7609 PZ 1,Almelo,7609 PZ,Nederland,
Vereniging Wigo4it in coÃƒÂ¶peratief verband met uitsluiting van aansprakelijkheid UA,192089276,2525KE 17,S-GRAVENHAGE,2525KE,Nederland,
Gemeentehuis Zuidplas,10653765,2914KM 1,NIEUWERKERK AD IJSSEL,2914KM,Nederland,
Gemeente Uithoorn,32291858,1423 AJ 16,Uithoorn,1423 AJ,Nederland,
Gemeente Zaanstad,49675616,1506MZ 100,Zaandam,1506MZ,Nederland,
Avans Hogeschool te Tilburg,231561964,5037DA 13,TILBURG,5037DA,Nederland,
Waterschap Scheldestromen,29683349,4337PA 1,MIDDELBURG,4337PA,Nederland,
Gemeente Zeist,242174937,3701 GK 20,Zeist,3701 GK,Nederland,
gemeente Spijkenisse,15694507,3201 EL 106,Spijkenisse,3201 EL,Nederland,
Gemeentehuis Papendrecht,47677148,3351PB 22,PAPENDRECHT,3351PB,Nederland,
Gemeente Oosterhout,44684937,4902 ZP 1,Oosterhout,4902 ZP,Nederland,
Gemeente Coevorden,39686866,7741 GC 1,Coevorden,7741 GC,Nederland,
Gemeente Heerlen,281696588,6411 HP 25,Heerlen,6411 HP,Nederland,
Dienst JustitiÃƒÂ«le Inrichtingen,3814225,Bezuidenhoutseweg 20,Den Haag,2594 AV,Nederland,http://www.dji.nl
SURFmarket,321787224,3511CJ 217,UTRECHT,3511CJ,Nederland,
Stichting Jeugdgezondheidszorg Zuid-Holland West,50281308,2722EA 24,ZOETERMEER,2722EA,Nederland,
Bestuurscommissie openbaar primair (speciaal) onderwijs Assen (Plateau),292078231,Obrechtlaan 3,ASSEN,9402TB,Nederland,http://www.plateau-assen.nl
Gemeente Alkmaar,22159309,Langestraat 97,ALKMAAR,1811JD,Nederland,http://www.alkmaar.nl
Gemeente Ouder-Amstel,262273306,Vondelstraat 1,Ouderkerk a/d Amstel,1191 BD,Nederland,http://www.ouder-amstel.nl
provincie Zuid-Holland,471574457,2596 AW 1,Den Haag,2596 AW,Nederland,
"Stichting ROC Leiden, Centrum voor Educatie en Beroepsonderwijs in de Regio Leiden en Duin & Bollenstreek",59493098,Betaplein 18,LEIDEN,2321KS,Nederland,http://www.rocleiden.nl
Regio Rivierenland,161676310,J.S. de Jongplein 2,Tiel,4001 WG,Nederland,http://www.regiorivierenland.nl
N.V. HVC,4068054,Jadestraat 1,Alkmaar,1812 RD,Nederland,http://www.hvcgroep.nl
Gemeente Harderwijk,27724370,3841AA 56,HARDERWIJK,3841AA,Nederland,
waterschap Noorderzijlvest,202044728,9735 AC 1,Groningen,9735 AC,Nederland,
Stichting Lentis Maatschappelijke Onderneming,241999247,9471KA 6,ZUIDLAREN,9471KA,Nederland,
Gemeente Beek,4502576,6191AA 9,Beek,6191AA,Nederland,
Gemeente Bergen,51661614,Jan Ligthartstraat 4,ALKMAAR,1817MR,Nederland,http://www.bergen-nh.nl
Stichting Openbaar Voortgezet Onderwijs Utrecht,431759209,Van Bijnkershoeklaan 4,Utrecht,3527XL,Nederland,http://www.nuovo.eu
Gemeente Haarlemmermeer,381942865,Raadhuisplein 1,Hoofddorp,2132 TZ,Nederland,http://www.haarlemmermeer.nl
Waterschap Vallei en Veluwe,6513549,Steenbokstraat 10,Apeldoorn,7324AX,Nederland,http://www.vallei-veluwe.nl/
Christelijke Hogeschool Windesheim,42478353,Campus 2,ZWOLLE,8017CA,Nederland,http://www.windesheim.nl
Gemeente Heerhugowaard,56658398,1703 EZ 1,Heerhugowaard,1703 EZ,Nederland,
Alliander N.V.,552705633,Utrechtseweg 68,ARNHEM,6812AH,Nederland,http://www.alliander.com
NedTrain B.V.,41680548,Postbus 1008,Haarlem,2001BA,Nederland,
De Meerwaarde,372172063,Rietberglaan 6,BARNEVELD,3771RD,Nederland,http://www.demeerwaarde.nl
"Gemeente Amsterdam, Afval Energie Bedrijf",36343288,AustraliÃƒÂ«havenweg 21,Amsterdam,1045 BA,Nederland,http://www.afvalenergiebedrijf.nl
Gemeenschappelijke Regeling Drechtsteden,32681913,3311RR 248,DORDRECHT,3311RR,Nederland,
Universitair Medisch Centrum Utrecht,51666152,3584CX 100,UTRECHT,3584CX,Nederland,
Stichting Zaan Primair voor Openbaar Primair en(Voorgezet) Speciaal Onderwijs,321813337,Ds Martin Luther Kingweg 206,ZAANDAM,1504DG,Nederland,http://www.zaanprimair.nl
"Rijkswaterstaat Water, Verkeer en Leefomgeving (WVL)",50661165,Schoemakerstraat 97,Delft,2628 VK,Nederland,http://www.rijkswaterstaat.nl
Gemeente Leeuwarden,61769470,8911DH 2,LEEUWARDEN,8911DH,Nederland,
gemeente Schouwen-Duiveland,491540354,Laan van Sint Hilaire 2,Zierikzee,4301SH,Nederland,http://www.schouwen-duiveland.nl
N.V. Nuon Energy,402297103,Spaklerweg 20,AMSTERDAM,1096BA,Nederland,
Provincie Flevoland,55378210,Visarenddreef 1,LELYSTAD,8232PH,Nederland,http://www.flevoland.nl
Radboud Universiteit Nijmegen,241988079,6525AJ 141,Nijmegen,6525AJ,Nederland,
Provincie Drenthe,22440214,9405 BJ 1,ASSEN,9405 BJ,Nederland,
Stichting Bibliotheek Kennemerwaard,41690710,Gasthuisstraat 2,ALKMAAR,1811KC,Nederland,http://www.bibliotheekkennemerwaard.nl
"CBI (Centrum tot Bevordering van de import uit Ontwikkelingslanden), agentschap van Ministerie van Buitenlandse Zaken",53714399,Prinses Beatrixlaan 2,Den Haag,2595 AL,Nederland,http://www.cbi.eu
NS Groep N.V.,41680548,Laan van Puntenburg 100,UTRECHT,3511ER,Nederland,
Stichting Sanquin Bloedvoorziening,28674552,1066 CX 125,Amsterdam,1066 CX,Nederland,
Gemeente Etten-Leur en 9 andere gemeenten,142155573,Roosendaalseweg 4,Etten-Leur,4875 AA,Nederland,http://www.etten-leur.nl
Gemeenschappelijke Regeling Park Lingezegen,1666095,De Park 10,ELST,6661 NW,Nederland,http://www.parklingezegen.nl
Gemeente Maastricht,202214754,6211 DW 10,Maastricht,6211 DW,Nederland,
Gemeente Heerlen,281696588,Postbus 1,HEERLEN,6400 AA,Nederland,http://www.heerlen.nl
Stedin,132194383,Blaak 8,ROTTERDAM,3011TA,Nederland,http://www.stedin.net
Stichting Hogeschool Zuyd,48391788,6419DJ 300,HEERLEN,6419DJ,Nederland,
Stichting Fluvium; Stichting voor openbaar basisonderwijs Geldermalsen-Neerijnen,442104261,De Panoven 29,GELDERMALSEN,4191GW,Nederland,
Gemeente Rijssen-Holten,111610341,7461DD 1,RIJSSEN,7461DD,Nederland,
Vereniging Wigo4it in coÃƒÂ¶peratief verband met uitsluiting van aansprakelijkheid UA,192089276,Fruitweg 17,S-GRAVENHAGE,2525KE,Nederland,http://www.wigo4it.nl
"Gemeente Amsterdam, Stadsdeel Noord",211640241,Buikslotermeerplein 2000,Amsterdam,1025 XL,Nederland,
B.V. Gemeenschappelijke regeling Cure,351634883,p/a Hofnar 15,Valkenswaard,5554 DA,Nederland,http://www.valkenswaard.nl
Gemeente Strijen,431953013,Waleplein 2,Strijen,3291 CZ,Nederland,http://www.strijen.nl
Veiligheidsregio Flevoland,152145789,Gordiaandreef 101,Lelystad,8233 AB,Nederland,http://www.veiligheidsregioflevoland.nl
Waterschap Velt en Vecht,331835633,7742 BP 2,Coevorden,7742 BP,Nederland,
VU Medisch Centrum,56465733,De Boelelaan 1105,AMSTERDAM,1081HV,Nederland,http://www.vumc.nl
"Ministerie van Economische Zaken, Agentschap NL",12024663,Prinses Beatrixlaan 2,Den Haag,2595 AL,Nederland,http://www.agentschapnl.nl/onderwerp/aanbesteden-van-innovaties
Gemeente Hardinxveld-Giessendam,281866226,Raadhuisplein 1,Hardinxveld-Giessendam,3371 AS,Nederland,
Stichting Roelof van Echten,591782515,Julianastraat 3,HOOGEVEEN,7902NJ,Nederland,http://www.rogroep.nl
Gemeente Heerlen,281696588,Geleenstraat 25,Heerlen,6411 HP,Nederland,http://www.heerlen.nl
Technische Universiteit Eindhoven,381687890,5612 AZ 2,Eindhoven,5612 AZ,Nederland,
Provincie FryslÃƒÂ¢n,23461608,8911 KZ 52,Leeuwarden,8911 KZ,Nederland,
Gemeente Zundert,2657027,Markt 1,Zundert,4881 CN,Nederland,http://www.zundert.nl
Provincie Gelderland,56387239,6811 CG 11,Arnhem,6811 CG,Nederland,
Gemeente Steenwijkerland,7448760,8331 XE 1,Steenwijk,8331 XE,Nederland,
Veiligheidsregio Midden- en West-Brabant,40480500,5038EN 34,Tilburg,5038EN,Nederland,
Gemeente Waalwijk,261873054,5141 PA 6,Waalwijk,5141 PA,Nederland,
Gemeente Capelle aan den IJssel,451579497,2903 AR 111,Capelle aan den IJssel,2903 AR,Nederland,
Gemeente Zwolle,401747134,8011 PK 15,Zwolle,8011 PK,Nederland,
Gemeente Tubbergen,141589170,7651 CV 1,Tubbergen,7651 CV,Nederland,
Gemeente Deventer,52675118,Grote Kerkhof 4,DEVENTER,7411KT,Nederland,http://www.deventer.nl
Stedelijk Museum 's-Hertogenbosch,15747246,Waterstraat 16,s-Hertogenbosch,5211 JD,Nederland,http://www.sm-s.nl
Leids Universitair Medisch Centrum (LUMC),141696672,2333ZA 2,LEIDEN,2333ZA,Nederland,
Gemeente Capelle aan den IJssel,451579497,Rivierweg 111,Capelle aan den IJssel,2903 AR,Nederland,http://www.capelleaandenijssel.nl
Hogeschool Utrecht,581766742,3513EX 330,Utrecht,3513EX,Nederland,
Rijkswaterstaat Grote Projecten en Onderhoud (GPO),361633343,Griffioenlaan 2,Utrecht,3526 LA,Nederland,http://www.rijkswaterstaat.nl
Gemeente Oldambt,132170319,Johan Modasstraat 6,Winschoten,9671 CD,Nederland,
Stichting Stedelijk Museum Amsterdam,511791282,Van Baerlestraat 31,AMSTERDAM,1071 AN,Nederland,
"Ministerie van Economische Zaken, Dienst ICT Uitvoering",151733690,Juliana van Stolberglaan 148,Den Haag,2595 CL,Nederland,http://www.rijksoverheid.nl/ministeries/ez
Dienst Landelijk Gebied,532146326,Postbus 10051,Zwolle,8000GB,Nederland,http://www.dienstlandelijkgebied.nl
Universitair Medisch Centrum St Radboud,221778972,6525GA 10,Nijmegen,6525GA,Nederland,
Gemeente Noordwijk,162008839,2201HW 42,NOORDWIJK,2201HW,Nederland,
de gemeenten Gennep en Bergen,4396285,P.a. Ellen Hoffmannplein 1,GENNEP,6591CP,Nederland,http://www.gennep.nl
Samenwerking de Liemers namens de gemeente Zevenaar,161596305,p/a Kastanjelaan 3,DUIVEN,6921ER,Nederland,
Stichting Sint Josephscholen,311713215,Kelfkensbos 38,Nijmegen,6511TB,Nederland,http://www.josephscholen.nl
Academisch Ziekenhuis Maastricht,56698522,6229HX 25,MAASTRICHT,6229HX,Nederland,
Provincie Utrecht,59402109,3584 BA 6,Utrecht,3584 BA,Nederland,
Regisseur Studenten Reisrecht B.V.,282073566,Laan van Puntenburg 100,UTRECHT,3511ER,Nederland,
Landelijk Meldpunt Afvalstoffen,60457570,2595 AL 2,Den Haag,2595 AL,Nederland,
Gemeente Nieuwegein,491651325,3431 LZ 1,Nieuwegein,3431 LZ,Nederland,
Gemeente Houten,35416829,3995 DW 25,Houten,3995 DW,Nederland,
"De provincie Limburg, door deze Dienst Landelijk Gebied",532146326,Postbus 1237,Roermond,6040 KE,Nederland,http://www.dienstlandelijkgebied.nl
Gemeente Boxmeer,1691165,5830JX 1,Boxmeer,5830JX,Nederland,
Koninklijke Bibliotheek,2100393,Pr Willem-Alexanderhof 5,S-GRAVENHAGE,2595BE,Nederland,http://www.kb.nl
Ons Middelbaar Onderwijs,432084726,5038CB 171,TILBURG,5038CB,Nederland,
"Ministerie van Defensie, Commando Dienstencentra, Divisie Vastgoed & Beveiliging Directie Zuid, Sectie Aanbesteden",31833604,Bezoekadres: Spoorlaan 175,UTRECHT,3509 AA,Nederland,http://www.defensie.nl/cdc
"Belastingdienst, IUC Belastingdienst",12629279,J.F. kennedylaan 8,APELDOORN,7314 PS,Nederland,http://www.belastingdienst.nl
"Stichting Esdal College, Scholengemeenschap voor openbaar voortgezet onderwijs in Emmen",231670847,7822 HK 13,Emmen,7822 HK,Nederland,
"Gemeente Amsterdam, ingenieursbureau",12034981,1018 DN 430,Amsterdam,1018 DN,Nederland,
Rijkswaterstaat Zee en Delta,13347689,Poelendaelesingel 18,Middelburg,4335 JA,Nederland,http://www.rijkswaterstaat.nl
Gemeente Dantumadiel,122152457,9104BR 4,DAMWÃƒâ€šLD,9104BR,Nederland,
NV SRO,61874529,Soesterweg 556,AMERSFOORT,3812BP,Nederland,http://www.sro.nl
Carve V.O.F.,292411655,Kortenaerplein 34,AMSTERDAM,1057NE,Nederland,http://www.carve.nl
KING,192112175,Nassaulaan 12,Den Haag,2514 JS,Nederland,http://www.kinggemeenten.nl
Stichting voor Beroepsonderwijs en VE Westelijk Zuid-Limburg,81592885,6224DC 20,MAASTRICHT,6224DC,Nederland,
"Rijkswaterstaat Programma's, Projecten en Onderhoud",11644412,Eusebiusbuitensingel 66,Arnhem,6828HZ,Nederland,http://www.rijkswaterstaat.nl
"Gemeente Amsterdam, Dienst Werk en Inkomen",382077623,Jan van Galenstraat 323,Amsterdam,1056 CH,Nederland,http://www.dwi.amsterdam.nl
Rijkswaterstaat Programma's Projecten en Onderhoud,82067183,Zuidersingel 3,Leeuwarden,8901 JH,Nederland,http://www.rijkswaterstaat.nl
Gemeente Urk,471893515,Singel 9,Urk,8321 GT,Nederland,http://www.urk.nl
Enexis B.V.,1582320,Burgemeester Burgerslaan 40,Rosmalen,5245 NH,Nederland,http://www.enexis.nl
Tresoar,33491655,8911 DH 1,Leeuwarden,8911 DH,Nederland,
Veiligheidsregio Utrecht,291995940,3542CE 59,UTRECHT,3542CE,Nederland,
"Ministerie van Defensie, Commando Dienstencentra",271880387,Herculeslaan 1,Utrecht,3584AB,Nederland,http://www.defensie.nl/cdc
Rijkswaterstaat Programma's Projecten en Onderhoud,82067183,Avenue Ceramique 125,Maastricht,6221 KV,Nederland,http://www.rijkswaterstaat.nl
Gemeente Groningen,461770445,Kreupelstraat 1,GRONINGEN,9701 BJ,Nederland,http://www.groningen.nl
Noorderpoort,58639176,Verzetsstrijderslaan 4,Groningen,9727CE,Nederland,http://www.noorderpoort.nl
"Ministerie van Infrastructuur en Milieu, PBL",541582858,Koningskade 4,Den Haag,2596AA,Nederland,http://www.rijksoverheid.nl/ministeries/ienm
Gemeente Schinnen,122036437,6365 BK 1,Schinnen,6365 BK,Nederland,
"Stichting Horizon, Instituut Jeugdzorg en Onderwijs",31499611,3055KM 150,ROTTERDAM,3055KM,Nederland,
Stichting Verkeersonderneming,21996427,3072AP 909,ROTTERDAM,3072AP,Nederland,
Gemeente Den Haag,221909103,Spui 70,Den Haag,2511 BT,Nederland,http://www.denhaag.nl/bouwen
Provincie Utrecht,59402109,Archimedeslaan 6,Utrecht,3584 BA,Nederland,http://www.provincie-utrecht.nl
Veiligheidsregio Gooi en Vechtstreek,412087822,Kamerlingh Onnesweg 148,Hilversum,1223 JN,Nederland,http://www.brandweer
Stichting Christelijk Onderwijs Haaglanden,52412501,2517AN 70,S-GRAVENHAGE,2517AN,Nederland,
Gemeente Oostzaan,151953643,Kerkbuurt 4,Oostzaan,1511 BD,Nederland,http://www.over-gemeenten.nl
Stadsregio Arnhem Nijmegen,481719747,6512 AB 26,Nijmegen,6512 AB,Nederland,
Gemeente Leidschendam-Voorburg,111792390,Raadhuisplein 1,Leidschendam,2264 BP,Nederland,
Vereniging tot Behoud van Natuurmonumenten in Nederland,141698537,1243JJ 60,S-GRAVELAND,1243JJ,Nederland,
"Rijksgebouwendienst, Expertisecentrum Aanbesteden",552550970,Korte Voorhout 7,Den Haag,2511 CW,Nederland,http://www.rijksgebouwendienst.nl
Gemeentehuis Stein,381910534,6171KP 200,STEIN,6171KP,Nederland,
Gemeente Medemblik,421781665,1687CD 21,WOGNUM,1687CD,Nederland,
Avans Hogeschool te Tilburg,231561964,Prof Cobbenhagenlaan 13,TILBURG,5037DA,Nederland,http://www.avans.nl
Stichting BOOR,101692221,Prins Hendrikkade 14,Rotterdam,3071 KB,Nederland,http://www.stichtingboor.nl
"Ministerie van Onderwijs, Cultuur en Wetenschap",211658528,Rijnstraat 50,Den Haag,2515 XP,Nederland,http://www.rijksoverheid.nl
Stichting Infoversum,461966837,Landleven 12,Groningen,9747 AD,Nederland,http://www.rug.nl
Gemeente Zuidhorn,142082226,Hooiweg 9,Zuidhorn,9801 AJ,Nederland,http://www.zuidhorn.nl
Stichting Praktijkonderwijs Regio Nijmegen,44697458,6524KE 12,NIJMEGEN,6524KE,Nederland,
Gemeente Leek,142082226,Tolberterstraat 66,Leek,9351 BJ,Nederland,http://www.leek.nl
"Dienst Landelijk Gebied, namens de provincie Drenthe",532146326,Cascadeplein 6,Groningen,9700 RM,Nederland,http://www.dienstlandelijkgebied.nl
SPO Utrecht,111780590,Kaap Hoorndreef 36,Utrecht,3563 AT,Nederland,
Leijgraaf Glasvezel B.V.,4665288,Muntelaar 10,VEGHEL,5467HA,Nederland,
Gemeente Asten,3627499,Koningsplein 3,Asten,5721 GJ,Nederland,
TROS,82180902,1217GN 45,HILVERSUM,1217GN,Nederland,
Stichting Regio College voor Beroepsonderwijs en Educatie Zaanstreek-Waterland,361982865,Cypressehout 99,ZAANDAM,1507EK,Nederland,http://www.regiocollege.nl
Rijksgebouwendienst,552550970,Korte Voorhout 7,Den Haag,2511 CW,Nederland,http://www.rijksgebouwendienst.nl
Stichting Centrum Indicatiestelling Zorg,391893965,Princenhof Park 3,DRIEBERGEN-RIJSENBURG,3972 NG,Nederland,http://www.ciz.nl
Gemeente Weststellingwerf,481704527,Griffioenpark 1,Wolvega,8471 KR,Nederland,http://www.weststellingwerf.nl
AVR-Afvalverwerking B.V.,1583230,Professor Gerbrandyweg 10,BOTLEK ROTTERDAM,3197KK,Nederland,http://www.vangansewinkel.com
Gemeente Hollands Kroon,341952762,De Verwachting 1,ANNA PAULOWNA,1761VM,Nederland,http://www.hollandskroon.nl
Stichting Openbaar Onderwijs Rijn- en Heuvelland,212115437,Laan van Vollenhove 3279,ZEIST,3706AS,Nederland,http://www.wereldkidz.nl
"Bizob namens gemeenten Eersel, Nuenen, Schijndel, Son en Breugel en Waalre",221959283,Markt 1,Oirschot,5688 AJ,Nederland,http://www.bizob.nl
Gemeente Geldrop-Mierlo,321669914,Hofstraat 4,Geldrop,5664 HT,Nederland,
"Gemeente Amsterdam, Afval Energie Bedrijf en Stadsdeel Oost",36343288,AustraliÃƒÂ«havenweg 21,Amsterdam,1045 BA,Nederland,http://www.afvalenergiebedrijf.nl
Wageningen University & Research centre,252057548,6708 PB 4,Wageningen,6708 PB,Nederland,
"Gemeente Amsterdam, Dienst Infrastructuur, Verkeer & Vervoer",54452213,1018 AA 5,Amsterdam,1018 AA,Nederland,
Gemeente Brummen,592155624,6971 BV 31,Brummen,6971 BV,Nederland,
GVB Infra B.V.,81781884,Arlandaweg 100,AMSTERDAM,1043 HP,Nederland,http://www.gvb.nl
NS Groep N.V.,41680548,Laan van Puntenburg 100,UTRECHT,3511ER,Nederland,http://www.ns.nl
N.V. Nuon Energy,402297103,Spaklerweg 20,AMSTERDAM,1096 BA,Nederland,http://www.nuon.nl
Gemeentehuis Nieuwkoop,181766731,2441LE 1,NIEUWVEEN,2441LE,Nederland,
Enabling Technologies BV,562081502,Urmonderbaan 2,Geleen,6167 RD,Nederland,http://www.enablingtechnologies.eu
Omroepvereniging Max,1732766,Stephensonstraat 8,ZOETERMEER,2723RN,Nederland,http://www.omroepmax.nl
Stichting Regionaal Opleidingen Centrum Drenthe,5679391,Stadionplein 5,EMMEN,7825SG,Nederland,http://www.drenthecollege.nl
N.V. Nederlandse Gasunie,152182772,Concourslaan 17,Groningen,9727 KC,Nederland,http://www.gasunie.nl
